date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:15	258/258	---M-Z	200	added ('OK')	text/html	etag:%22c812e3-102-5884f1f6fe4a4-gzip%22	http://puffintheme.com/demo/oculux/index.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/index.html	(from )
09:36:16	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2026%20May%202019%2002:36:16%20GMT	http://puffintheme.com/robots.txt		(from )
09:36:16	75457/75457	---M-Z	200	added ('OK')	text/html	etag:%22c8013e-126c1-583f2821fce00-gzip%22	http://puffintheme.com/demo/oculux/html/index.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/index.html	(from http://puffintheme.com/demo/oculux/index.html)
09:36:16	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22c811e1-47e-579a6d903f300%22	http://puffintheme.com/demo/oculux/html/favicon.ico	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/favicon.ico	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:19	155758/155758	---M--	200	added ('OK')	text/css	etag:%22c80124-2606e-581d21a6cb380%22	http://puffintheme.com/demo/oculux/assets/vendor/bootstrap/css/bootstrap.min.css	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:21	31000/31000	---M--	200	added ('OK')	text/css	etag:%22c80db6-7918-54ff6940d4500%22	http://puffintheme.com/demo/oculux/assets/vendor/font-awesome/css/font-awesome.min.css	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/vendor/font-awesome/css/font-awesome.min.css	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:23	58558/58558	---M--	200	added ('OK')	text/css	etag:%22c800fc-e4be-571f4465cd080%22	http://puffintheme.com/demo/oculux/assets/vendor/animate-css/vivify.min.css	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/vendor/animate-css/vivify.min.css	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:23	3186/3186	---M--	200	added ('OK')	text/css	etag:%22c801f8-c72-57aadabb12f00%22	http://puffintheme.com/demo/oculux/assets/vendor/c3/c3.min.css	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/vendor/c3/c3.min.css	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:27	183819/183819	---M--	200	added ('OK')	text/css	etag:%22c82ad4-2ce0b-587340b9561fe%22	http://puffintheme.com/demo/oculux/html/assets/css/site.min.css	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/assets/css/site.min.css	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:27	10030/10030	---M--	200	added ('OK')	image/svg+xml	etag:%22c800b4-272e-5836696d50900%22	http://puffintheme.com/demo/oculux/assets/images/icon.svg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/icon.svg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:28	1522/1522	---M--	200	added ('OK')	image/jpeg	etag:%22c800f1-5f2-5764f431cad00%22	http://puffintheme.com/demo/oculux/assets/images/xs/avatar5.jpg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/xs/avatar5.jpg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:28	2163/2163	---M--	200	added ('OK')	image/jpeg	etag:%22c800e3-873-5764f431cad00%22	http://puffintheme.com/demo/oculux/assets/images/xs/avatar2.jpg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/xs/avatar2.jpg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:28	3921/3921	---M--	200	added ('OK')	image/svg+xml	etag:%22c800b2-f51-5816e4e52fb00%22	http://puffintheme.com/demo/oculux/assets/images/flag/us.svg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/flag/us.svg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:29	795/795	---M--	200	added ('OK')	image/svg+xml	etag:%22c800af-31b-5816e4f289a80%22	http://puffintheme.com/demo/oculux/assets/images/flag/gb.svg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/flag/gb.svg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:29	265/265	---M--	200	added ('OK')	image/svg+xml	etag:%22c800b1-109-5816f0a32af00%22	http://puffintheme.com/demo/oculux/assets/images/flag/russia.svg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/flag/russia.svg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:30	377/377	---M--	200	added ('OK')	image/svg+xml	etag:%22c800ae-179-5816f0cb38d80%22	http://puffintheme.com/demo/oculux/assets/images/flag/france.svg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/flag/france.svg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:30	38371/38371	---M--	200	added ('OK')	image/svg+xml	etag:%22c800ab-95e3-5816f0f15e780%22	http://puffintheme.com/demo/oculux/assets/images/flag/arabia.svg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/flag/arabia.svg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:31	106002/106002	---M-Z	200	added ('OK')	text/html	etag:%22c811a1-19e12-5841b45778f00-gzip%22	http://puffintheme.com/demo/oculux/html/page-social.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-social.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:31	72357/72357	---M-Z	200	added ('OK')	text/html	etag:%22c81144-11aa5-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/page-news.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-news.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:32	70292/70292	---M-Z	200	added ('OK')	text/html	etag:%22c8113b-11294-587340a68ebb6-gzip%22	http://puffintheme.com/demo/oculux/html/page-blog.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-blog.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:32	3640/3640	---M-Z	200	added ('OK')	text/html	etag:%22c81141-e38-5825f5e1cc100-gzip%22	http://puffintheme.com/demo/oculux/html/page-login.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-login.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:33	58995/58995	---M-Z	200	added ('OK')	text/html	etag:%22c81140-e673-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/page-invoices-detail.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-invoices-detail.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:33	2374/2374	---M--	200	added ('OK')	image/jpeg	etag:%22c800f3-946-5764f431cad00%22	http://puffintheme.com/demo/oculux/assets/images/xs/avatar6.jpg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/xs/avatar6.jpg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:34	73867/73867	---M-Z	200	added ('OK')	text/html	etag:%22c80115-1208b-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/app-inbox.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/app-inbox.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:34	70791/70791	---M-Z	200	added ('OK')	text/html	etag:%22c8010f-11487-5841b45778f00-gzip%22	http://puffintheme.com/demo/oculux/html/app-chat.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/app-chat.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:35	69381/69381	---M-Z	200	added ('OK')	text/html	etag:%22c8010e-10f05-5841b42f6b080-gzip%22	http://puffintheme.com/demo/oculux/html/app-calendar.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/app-calendar.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:35	93129/93129	---M-Z	200	added ('OK')	text/html	etag:%22c8119e-16bc9-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/page-profile.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-profile.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:36	69870/69870	---M-Z	200	added ('OK')	text/html	etag:%22c8113f-110ee-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/page-invoices.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-invoices.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:36	70021/70021	---M-Z	200	added ('OK')	text/html	etag:%22c811a3-11185-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/page-timeline.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/page-timeline.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:37	2674/2674	---M--	200	added ('OK')	image/jpeg	etag:%22c800e1-a72-5764f431cad00%22	http://puffintheme.com/demo/oculux/assets/images/xs/avatar1.jpg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/xs/avatar1.jpg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:37	2522/2522	---M--	200	added ('OK')	image/jpeg	etag:%22c800ea-9da-5764f431cad00%22	http://puffintheme.com/demo/oculux/assets/images/xs/avatar3.jpg	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/xs/avatar3.jpg	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:38	15945/15945	---M--	200	added ('OK')	image/png	etag:%22c800de-3e49-5764f44c7ec00%22	http://puffintheme.com/demo/oculux/assets/images/user.png	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/assets/images/user.png	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:38	72792/72792	---M-Z	200	added ('OK')	text/html	etag:%22c80145-11c58-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/index4.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/index4.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:39	73492/73492	---M-Z	200	added ('OK')	text/html	etag:%22c80147-11f14-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/index5.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/index5.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:39	64245/64245	---M-Z	200	added ('OK')	text/html	etag:%22c80148-faf5-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/index6.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/index6.html	(from http://puffintheme.com/demo/oculux/html/index.html)
09:36:39	72054/72054	---M-Z	200	added ('OK')	text/html	etag:%22c8014c-11976-583f281e2c500-gzip%22	http://puffintheme.com/demo/oculux/html/index7.html	D:/My%20Web%20Sites/oculux/puffintheme.com/demo/oculux/html/index7.html	(from http://puffintheme.com/demo/oculux/html/index.html)
